"identifier","preflabel","altLabel","uri"
"SDN:P06::MAKG","10**6 atoms per kilogram","10**6at/kg","http://vocab.nerc.ac.uk/collection/P06/current/MAKG/"
"SDN:P06::UMKS","10^-8 * Cubic metres per kilogram","10^-8m^3kg-1","http://vocab.nerc.ac.uk/collection/P06/current/UMKS/"
"SDN:P06::UAQU","Angstrom squared per quantum","A^2/Q","http://vocab.nerc.ac.uk/collection/P06/current/UAQU/"
"SDN:P06::UAMN","Arc minutes","arc_min","http://vocab.nerc.ac.uk/collection/P06/current/UAMN/"
"SDN:P06::BQM3","Becquerels per cubic metre","Bq/m^3","http://vocab.nerc.ac.uk/collection/P06/current/BQM3/"
"SDN:P06::UBQK","Becquerels per kilogram","Bq/kg","http://vocab.nerc.ac.uk/collection/P06/current/UBQK/"
"SDN:P06::UBQL","Becquerels per litre","Bq/l","http://vocab.nerc.ac.uk/collection/P06/current/UBQL/"
"SDN:P06::BQSM","Becquerels per square metre","Bq/m^2","http://vocab.nerc.ac.uk/collection/P06/current/BQSM/"
"SDN:P06::BSM3","Becquerels second per cubic metre","Bq.s/m3","http://vocab.nerc.ac.uk/collection/P06/current/BSM3/"
"SDN:P06::UYGA","Billions of years before present","Gyr","http://vocab.nerc.ac.uk/collection/P06/current/UYGA/"
"SDN:P06::BYTE","Bytes","Bytes","http://vocab.nerc.ac.uk/collection/P06/current/BYTE/"
"SDN:P06::ULCM","Centimetres","cm","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/"
"SDN:P06::UVBB","Centimetres per second","cm/s","http://vocab.nerc.ac.uk/collection/P06/current/UVBB/"
"SDN:P06::UCKA","Centimetres per thousand years","cm/kyr","http://vocab.nerc.ac.uk/collection/P06/current/UCKA/"
"SDN:P06::UCST","Centistokes","cSt","http://vocab.nerc.ac.uk/collection/P06/current/UCST/"
"SDN:P06::UCNT","Counts","counts","http://vocab.nerc.ac.uk/collection/P06/current/UCNT/"
"SDN:P06::UCPS","Counts per second","counts/s","http://vocab.nerc.ac.uk/collection/P06/current/UCPS/"
"SDN:P06::VVCC","Cubic centimetres","cm^3","http://vocab.nerc.ac.uk/collection/P06/current/VVCC/"
"SDN:P06::MCUB","Cubic metres","m^3","http://vocab.nerc.ac.uk/collection/P06/current/MCUB/"
"SDN:P06::CMPS","Cubic metres per second","m^3/s","http://vocab.nerc.ac.uk/collection/P06/current/CMPS/"
"SDN:P06::MCS2","Cubic metres per second squared","m^3/s^2","http://vocab.nerc.ac.uk/collection/P06/current/MCS2/"
"SDN:P06::UMCU","Cubic micrometres (microns)","um^3","http://vocab.nerc.ac.uk/collection/P06/current/UMCU/"
"SDN:P06::UCCM","Cubic microns per cubic metre","um^3/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UCCM/"
"SDN:P06::UNVH","Cubic microns per individual per hour","um^3/ind/h","http://vocab.nerc.ac.uk/collection/P06/current/UNVH/"
"SDN:P06::UCUM","Cubic microns per millilitre","um^3/ml","http://vocab.nerc.ac.uk/collection/P06/current/UCUM/"
"SDN:P06::CMCM","Cubic millimetres per cubic metre","mm^3/m^3","http://vocab.nerc.ac.uk/collection/P06/current/CMCM/"
"SDN:P06::UTAA","Days","d","http://vocab.nerc.ac.uk/collection/P06/current/UTAA/"
"SDN:P06::UPDB","Decibars","dbar","http://vocab.nerc.ac.uk/collection/P06/current/UPDB/"
"SDN:P06::DBPY","Decibars per year","dbar/yr","http://vocab.nerc.ac.uk/collection/P06/current/DBPY/"
"SDN:P06::UDBL","Decibels","dB","http://vocab.nerc.ac.uk/collection/P06/current/UDBL/"
"SDN:P06::UDBZ","Decibels of Z","dBZ","http://vocab.nerc.ac.uk/collection/P06/current/UDBZ/"
"SDN:P06::UAAA","Degrees","deg","http://vocab.nerc.ac.uk/collection/P06/current/UAAA/"
"SDN:P06::UPAA","Degrees Celsius","degC","http://vocab.nerc.ac.uk/collection/P06/current/UPAA/"
"SDN:P06::DKM2","Degrees Celsius kilogram per square metre","degC.kg/m^2","http://vocab.nerc.ac.uk/collection/P06/current/DKM2/"
"SDN:P06::UPCC","Degrees Celsius per metre","degC/m","http://vocab.nerc.ac.uk/collection/P06/current/UPCC/"
"SDN:P06::DCPY","Degrees Celsius per year","degC/yr","http://vocab.nerc.ac.uk/collection/P06/current/DCPY/"
"SDN:P06::UCSS","Degrees Celsius squared per second","degC^2/s","http://vocab.nerc.ac.uk/collection/P06/current/UCSS/"
"SDN:P06::DEGF","Degrees Fahrenheit","degF","http://vocab.nerc.ac.uk/collection/P06/current/DEGF/"
"SDN:P06::UPKA","Degrees Kelvin","K","http://vocab.nerc.ac.uk/collection/P06/current/UPKA/"
"SDN:P06::DKPM","Degrees Kelvin per metre","degK/m","http://vocab.nerc.ac.uk/collection/P06/current/DKPM/"
"SDN:P06::UABB","Degrees True","deg T","http://vocab.nerc.ac.uk/collection/P06/current/UABB/"
"SDN:P06::DEGE","Degrees east","degree_east","http://vocab.nerc.ac.uk/collection/P06/current/DEGE/"
"SDN:P06::DEGN","Degrees north","degree_north","http://vocab.nerc.ac.uk/collection/P06/current/DEGN/"
"SDN:P06::DGPS","Degrees per second","deg/s","http://vocab.nerc.ac.uk/collection/P06/current/DGPS/"
"SDN:P06::UUUU","Dimensionless","Dmnless","http://vocab.nerc.ac.uk/collection/P06/current/UUUU/"
"SDN:P06::EVLT","Electronvolts","eV","http://vocab.nerc.ac.uk/collection/P06/current/EVLT/"
"SDN:P06::EQPL","Equivalents per litre","Equiv/l","http://vocab.nerc.ac.uk/collection/P06/current/EQPL/"
"SDN:P06::FGKG","Femtograms per kilogram","fg/kg","http://vocab.nerc.ac.uk/collection/P06/current/FGKG/"
"SDN:P06::FGPL","Femtograms per litre","fg/l","http://vocab.nerc.ac.uk/collection/P06/current/FGPL/"
"SDN:P06::FMKG","Femtomoles per kilogram","fmol/kg","http://vocab.nerc.ac.uk/collection/P06/current/FMKG/"
"SDN:P06::UPFM","Femtomoles per litre","fmol/l","http://vocab.nerc.ac.uk/collection/P06/current/UPFM/"
"SDN:P06::UFFU","Fluorescein Fluorescence Units","FFU","http://vocab.nerc.ac.uk/collection/P06/current/UFFU/"
"SDN:P06::UFNU","Formazin Nephelometric Units","FNU","http://vocab.nerc.ac.uk/collection/P06/current/UFNU/"
"SDN:P06::UGRM","Grams","g","http://vocab.nerc.ac.uk/collection/P06/current/UGRM/"
"SDN:P06::UGCC","Grams per cubic centimetre","g/cm^3","http://vocab.nerc.ac.uk/collection/P06/current/UGCC/"
"SDN:P06::UGMC","Grams per cubic metre","g/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UGMC/"
"SDN:P06::GPRG","Grams per gram","g/g","http://vocab.nerc.ac.uk/collection/P06/current/GPRG/"
"SDN:P06::UGKG","Grams per kilogram","g/kg","http://vocab.nerc.ac.uk/collection/P06/current/UGKG/"
"SDN:P06::GQCY","Grams per square centimetre per year","g/cm^2/yr","http://vocab.nerc.ac.uk/collection/P06/current/GQCY/"
"SDN:P06::UGMS","Grams per square metre","g/m^2","http://vocab.nerc.ac.uk/collection/P06/current/UGMS/"
"SDN:P06::UYAD","Gregorian calendar years anno Domini","AD","http://vocab.nerc.ac.uk/collection/P06/current/UYAD/"
"SDN:P06::UYBC","Gregorian calendar years before Christ","BC","http://vocab.nerc.ac.uk/collection/P06/current/UYBC/"
"SDN:P06::UYMD","Gregorian date (yyyymmdd)","yyyymmdd","http://vocab.nerc.ac.uk/collection/P06/current/UYMD/"
"SDN:P06::HPAX","Hectopascals","hPa","http://vocab.nerc.ac.uk/collection/P06/current/HPAX/"
"SDN:P06::HPAH","Hectopascals per hour","hPa/h","http://vocab.nerc.ac.uk/collection/P06/current/HPAH/"
"SDN:P06::UTHZ","Hertz","Hz","http://vocab.nerc.ac.uk/collection/P06/current/UTHZ/"
"SDN:P06::UHOR","Hours","h","http://vocab.nerc.ac.uk/collection/P06/current/UHOR/"
"SDN:P06::UHMS","Hours Minutes Seconds","hh24miss","http://vocab.nerc.ac.uk/collection/P06/current/UHMS/"
"SDN:P06::TISO","ISO8601","ISO8601","http://vocab.nerc.ac.uk/collection/P06/current/TISO/"
"SDN:P06::JOUL","Joule","J","http://vocab.nerc.ac.uk/collection/P06/current/JOUL/"
"SDN:P06::JPKG","Joules per kilogram","J/kg","http://vocab.nerc.ac.uk/collection/P06/current/JPKG/"
"SDN:P06::JKGK","Joules per kilogram per Kelvin","J/kg/K","http://vocab.nerc.ac.uk/collection/P06/current/JKGK/"
"SDN:P06::JCMH","Joules per square centimetre per day","J/cm^2/d","http://vocab.nerc.ac.uk/collection/P06/current/JCMH/"
"SDN:P06::JMSQ","Joules per square metre","J/m^2","http://vocab.nerc.ac.uk/collection/P06/current/JMSQ/"
"SDN:P06::KPAS","Kelvin Pascals per second","K.Pa/s","http://vocab.nerc.ac.uk/collection/P06/current/KPAS/"
"SDN:P06::KMTX","Kelvin metres","K.m","http://vocab.nerc.ac.uk/collection/P06/current/KMTX/"
"SDN:P06::KMTS","Kelvin metres per second","K.m/s","http://vocab.nerc.ac.uk/collection/P06/current/KMTS/"
"SDN:P06::KPMT","Kelvin per metre","K/m","http://vocab.nerc.ac.uk/collection/P06/current/KPMT/"
"SDN:P06::KPRS","Kelvin per second","K/s","http://vocab.nerc.ac.uk/collection/P06/current/KPRS/"
"SDN:P06::KSXX","Kelvin second","K.s","http://vocab.nerc.ac.uk/collection/P06/current/KSXX/"
"SDN:P06::KMSS","Kelvin square metres per kilogram per second","K.m^2/kg/s","http://vocab.nerc.ac.uk/collection/P06/current/KMSS/"
"SDN:P06::KLSQ","Kelvin squared","K^2","http://vocab.nerc.ac.uk/collection/P06/current/KLSQ/"
"SDN:P06::KGPS","Kilogram per second","kg/s","http://vocab.nerc.ac.uk/collection/P06/current/KGPS/"
"SDN:P06::KGXX","Kilograms","kg","http://vocab.nerc.ac.uk/collection/P06/current/KGXX/"
"SDN:P06::UKMC","Kilograms per cubic metre","kg/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UKMC/"
"SDN:P06::KSP3","Kilograms per cubic metre per second","kg/m^3/s","http://vocab.nerc.ac.uk/collection/P06/current/KSP3/"
"SDN:P06::KGPH","Kilograms per hour","kg/h","http://vocab.nerc.ac.uk/collection/P06/current/KGPH/"
"SDN:P06::KMPS","Kilograms per metre per second","kg/m/s","http://vocab.nerc.ac.uk/collection/P06/current/KMPS/"
"SDN:P06::KMP2","Kilograms per square metre","kg/m^2","http://vocab.nerc.ac.uk/collection/P06/current/KMP2/"
"SDN:P06::KSP2","Kilograms per square metre per second","kg/m^2/s","http://vocab.nerc.ac.uk/collection/P06/current/KSP2/"
"SDN:P06::KGS2","Kilograms squared per second squared","kg^2/s^2","http://vocab.nerc.ac.uk/collection/P06/current/KGS2/"
"SDN:P06::ULKM","Kilometres","km","http://vocab.nerc.ac.uk/collection/P06/current/ULKM/"
"SDN:P06::KMDY","Kilometres per day","km/d","http://vocab.nerc.ac.uk/collection/P06/current/KMDY/"
"SDN:P06::KIPA","Kilopascals","kPa","http://vocab.nerc.ac.uk/collection/P06/current/KIPA/"
"SDN:P06::UYKA","Kiloyears before present","kyr","http://vocab.nerc.ac.uk/collection/P06/current/UYKA/"
"SDN:P06::UKNT","Knots (nautical miles per hour)","Knots","http://vocab.nerc.ac.uk/collection/P06/current/UKNT/"
"SDN:P06::ULIT","Litres","l","http://vocab.nerc.ac.uk/collection/P06/current/ULIT/"
"SDN:P06::ULKG","Litres per kilogram","l/kg","http://vocab.nerc.ac.uk/collection/P06/current/ULKG/"
"SDN:P06::LPUM","Litres per micromole","l/umol","http://vocab.nerc.ac.uk/collection/P06/current/LPUM/"
"SDN:P06::ULPM","Litres per minute","l/min","http://vocab.nerc.ac.uk/collection/P06/current/ULPM/"
"SDN:P06::USIS","Magnetic susceptibility SI units","MSSI","http://vocab.nerc.ac.uk/collection/P06/current/USIS/"
"SDN:P06::UCGS","Magnetic susceptibility cgs units","MScgs","http://vocab.nerc.ac.uk/collection/P06/current/UCGS/"
"SDN:P06::UCGG","Magnetic susceptibility cgs units per gram","Mscgs/g","http://vocab.nerc.ac.uk/collection/P06/current/UCGG/"
"SDN:P06::MBYT","Megabytes","MByte","http://vocab.nerc.ac.uk/collection/P06/current/MBYT/"
"SDN:P06::ULAA","Metres","m","http://vocab.nerc.ac.uk/collection/P06/current/ULAA/"
"SDN:P06::UVAA","Metres per second","m/s","http://vocab.nerc.ac.uk/collection/P06/current/UVAA/"
"SDN:P06::MPS2","Metres per second squared","m/s^2","http://vocab.nerc.ac.uk/collection/P06/current/MPS2/"
"SDN:P06::MPYR","Metres per year","m/yr","http://vocab.nerc.ac.uk/collection/P06/current/MPYR/"
"SDN:P06::M4S1","Metres to the power four per second","m^4/s","http://vocab.nerc.ac.uk/collection/P06/current/M4S1/"
"SDN:P06::UMEC","MicroEinsteins per cubic metre per second","uE/m^3/s","http://vocab.nerc.ac.uk/collection/P06/current/UMEC/"
"SDN:P06::UECH","MicroEinsteins per square centimetre per hour","uE/cm^2/h","http://vocab.nerc.ac.uk/collection/P06/current/UECH/"
"SDN:P06::UMES","MicroEinsteins per square metre per second","uE/m^2/s","http://vocab.nerc.ac.uk/collection/P06/current/UMES/"
"SDN:P06::UEQL","MicroEquivalents per litre","uEquiv/l","http://vocab.nerc.ac.uk/collection/P06/current/UEQL/"
"SDN:P06::UGPM","MicroGals per metre","uGal/m","http://vocab.nerc.ac.uk/collection/P06/current/UGPM/"
"SDN:P06::UATM","Microatmospheres","uatm","http://vocab.nerc.ac.uk/collection/P06/current/UATM/"
"SDN:P06::UWBQ","Microbecquerels per kilogram","uBq/kg","http://vocab.nerc.ac.uk/collection/P06/current/UWBQ/"
"SDN:P06::UUBQ","Microbecquerels per litre","uBq/l","http://vocab.nerc.ac.uk/collection/P06/current/UUBQ/"
"SDN:P06::UGUG","Micrograms","ug","http://vocab.nerc.ac.uk/collection/P06/current/UGUG/"
"SDN:P06::XGCC","Micrograms per cubic centimetre","ug/cm^3","http://vocab.nerc.ac.uk/collection/P06/current/XGCC/"
"SDN:P06::MCUG","Micrograms per cubic metre","ug/m^3","http://vocab.nerc.ac.uk/collection/P06/current/MCUG/"
"SDN:P06::UGM3","Micrograms per cubic metre per hour","ug/m^3/h","http://vocab.nerc.ac.uk/collection/P06/current/UGM3/"
"SDN:P06::WXCC","Micrograms per five cubic centimetres","ug/5cm^3","http://vocab.nerc.ac.uk/collection/P06/current/WXCC/"
"SDN:P06::UGGR","Micrograms per gram","ug/g","http://vocab.nerc.ac.uk/collection/P06/current/UGGR/"
"SDN:P06::UUKG","Micrograms per kilogram","ug/kg","http://vocab.nerc.ac.uk/collection/P06/current/UUKG/"
"SDN:P06::UGPL","Micrograms per litre","ug/l","http://vocab.nerc.ac.uk/collection/P06/current/UGPL/"
"SDN:P06::MGLH","Micrograms per litre per hour","ug/l/h","http://vocab.nerc.ac.uk/collection/P06/current/MGLH/"
"SDN:P06::UUGS","Micrograms per millilitre","ug/ml","http://vocab.nerc.ac.uk/collection/P06/current/UUGS/"
"SDN:P06::UUDX","Micrograms per square metre per day","ug/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/UUDX/"
"SDN:P06::UUML","Microlitres per litre","ul/l","http://vocab.nerc.ac.uk/collection/P06/current/UUML/"
"SDN:P06::UMIC","Micrometres (microns)","um","http://vocab.nerc.ac.uk/collection/P06/current/UMIC/"
"SDN:P06::UMUB","Micromole per micromole of biomass per day","um/um/d","http://vocab.nerc.ac.uk/collection/P06/current/UMUB/"
"SDN:P06::CMUM","Micromoles per cubic metre","umol/m^3","http://vocab.nerc.ac.uk/collection/P06/current/CMUM/"
"SDN:P06::KGUM","Micromoles per kilogram","umol/kg","http://vocab.nerc.ac.uk/collection/P06/current/KGUM/"
"SDN:P06::UPOX","Micromoles per litre","umol/l","http://vocab.nerc.ac.uk/collection/P06/current/UPOX/"
"SDN:P06::UMMD","Micromoles per litre per day","umol/l/d","http://vocab.nerc.ac.uk/collection/P06/current/UMMD/"
"SDN:P06::UMMH","Micromoles per litre per hour","umol/l/h","http://vocab.nerc.ac.uk/collection/P06/current/UMMH/"
"SDN:P06::UMPM","Micromoles per mole","umol/mol","http://vocab.nerc.ac.uk/collection/P06/current/UMPM/"
"SDN:P06::UUUD","Micromoles per square metre per day","umol/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/UUUD/"
"SDN:P06::UMFX","Micromoles per square metre per hour","umol/m^2/h","http://vocab.nerc.ac.uk/collection/P06/current/UMFX/"
"SDN:P06::UM2S","Micromoles per square metre per second","umol/m^2/s","http://vocab.nerc.ac.uk/collection/P06/current/UM2S/"
"SDN:P06::USEC","Microseconds","us","http://vocab.nerc.ac.uk/collection/P06/current/USEC/"
"SDN:P06::MEKG","MilliEquivalents per kilogram","mEquiv/kg","http://vocab.nerc.ac.uk/collection/P06/current/MEKG/"
"SDN:P06::MEQL","MilliEquivalents per litre","mEquiv/l","http://vocab.nerc.ac.uk/collection/P06/current/MEQL/"
"SDN:P06::MGAL","MilliGals","mGal","http://vocab.nerc.ac.uk/collection/P06/current/MGAL/"
"SDN:P06::MGPM","MilliGals per month","mGal/mon","http://vocab.nerc.ac.uk/collection/P06/current/MGPM/"
"SDN:P06::MSCM","MilliSiemens per centimetre","msS/cm","http://vocab.nerc.ac.uk/collection/P06/current/MSCM/"
"SDN:P06::MSPM","MilliSiemens per metre","mS/m","http://vocab.nerc.ac.uk/collection/P06/current/MSPM/"
"SDN:P06::UMAM","Milliamps","mA","http://vocab.nerc.ac.uk/collection/P06/current/UMAM/"
"SDN:P06::UPBB","Millibars","mBar","http://vocab.nerc.ac.uk/collection/P06/current/UPBB/"
"SDN:P06::MBPG","Millibecquerels per gram","mBq/g","http://vocab.nerc.ac.uk/collection/P06/current/MBPG/"
"SDN:P06::MBQK","Millibecquerels per kilogram","mBq/kg","http://vocab.nerc.ac.uk/collection/P06/current/MBQK/"
"SDN:P06::UMBQ","Millibecquerels per litre","mBq/l","http://vocab.nerc.ac.uk/collection/P06/current/UMBQ/"
"SDN:P06::MBQF","Millibecquerels per square metre per day","mBq/m2/d","http://vocab.nerc.ac.uk/collection/P06/current/MBQF/"
"SDN:P06::UCLC","Milligrams of carbon per (microEinstein per square metre per second) per milligram of chlorophyll per hour","mgC/(uE/m^2/s)/mgChl/h","http://vocab.nerc.ac.uk/collection/P06/current/UCLC/"
"SDN:P06::UCCL","Milligrams of carbon per milligram of chlorophyll per hour","mgC/mgChl/hr","http://vocab.nerc.ac.uk/collection/P06/current/UCCL/"
"SDN:P06::UMMC","Milligrams per cubic metre","mg/m^3","http://vocab.nerc.ac.uk/collection/P06/current/UMMC/"
"SDN:P06::UGDC","Milligrams per cubic metre per day","mg/m^3/d","http://vocab.nerc.ac.uk/collection/P06/current/UGDC/"
"SDN:P06::UGLH","Milligrams per cubic metre per hour","mg/m^3/h","http://vocab.nerc.ac.uk/collection/P06/current/UGLH/"
"SDN:P06::MGPG","Milligrams per gram","mg/g","http://vocab.nerc.ac.uk/collection/P06/current/MGPG/"
"SDN:P06::UMKG","Milligrams per kilogram","mg/kg","http://vocab.nerc.ac.uk/collection/P06/current/UMKG/"
"SDN:P06::UMGL","Milligrams per litre","mg/l","http://vocab.nerc.ac.uk/collection/P06/current/UMGL/"
"SDN:P06::UMMS","Milligrams per square metre","mg/m^2","http://vocab.nerc.ac.uk/collection/P06/current/UMMS/"
"SDN:P06::UGDX","Milligrams per square metre per day","mg/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/UGDX/"
"SDN:P06::MGSQ","Milligrams per square metre per hour","mg/m^2/h","http://vocab.nerc.ac.uk/collection/P06/current/MGSQ/"
"SDN:P06::UM2D","Milligrams per square metre per incubation duration","mg/m^2/inc","http://vocab.nerc.ac.uk/collection/P06/current/UM2D/"
"SDN:P06::VVML","Millilitres","ml","http://vocab.nerc.ac.uk/collection/P06/current/VVML/"
"SDN:P06::UMCH","Millilitres cleared per individual per hour","ml/ind/h","http://vocab.nerc.ac.uk/collection/P06/current/UMCH/"
"SDN:P06::MPM3","Millilitres per cubic metre","ml/m^3","http://vocab.nerc.ac.uk/collection/P06/current/MPM3/"
"SDN:P06::MIKG","Millilitres per kilogram","ml/kg","http://vocab.nerc.ac.uk/collection/P06/current/MIKG/"
"SDN:P06::UMLL","Millilitres per litre","ml/l","http://vocab.nerc.ac.uk/collection/P06/current/UMLL/"
"SDN:P06::CCPM","Millilitres per minute","ml/min","http://vocab.nerc.ac.uk/collection/P06/current/CCPM/"
"SDN:P06::MSMD","Millilitres per square metre per day","ml/m^2/d","http://vocab.nerc.ac.uk/collection/P06/current/MSMD/"
"SDN:P06::UXMM","Millimetres","mm","http://vocab.nerc.ac.uk/collection/P06/current/UXMM/"
"SDN:P06::MMPD","Millimetres per day","mm/d","http://vocab.nerc.ac.uk/collection/P06/current/MMPD/"
"SDN:P06::MMPH","Millimetres per hour","mm/h","http://vocab.nerc.ac.uk/collection/P06/current/MMPH/"
